codigo_producto,codigo_sede,existencia_actual,existencia_minima,origen_minimo,porcentaje_minimo_aplicado,valor_original,hoja_origen,fila_origen,interpretacion,requiere_revision
31A,Z9,272,55,calculado_20_por_ciento,20,272,Inventario Medicamento,3,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
31A,Z3,26,6,calculado_20_por_ciento,20,26,Inventario Medicamento,3,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
8A,Z9,677,136,calculado_20_por_ciento,20,677,Inventario Medicamento,4,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
8A,Z3,500,100,calculado_20_por_ciento,20,500,Inventario Medicamento,4,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
22A,Z9,167,34,calculado_20_por_ciento,20,167,Inventario Medicamento,5,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
22A,Z3,46,10,calculado_20_por_ciento,20,46,Inventario Medicamento,5,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
9A,Z9,2,1,calculado_20_por_ciento,20,2 en uso,Inventario Medicamento,6,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z9.,false
9A,Z3,1,1,calculado_20_por_ciento,20,1 en uso,Inventario Medicamento,6,Cantidad numérica en uso contada como disponible según decisión institucional. Existencia tomada definitivamente de Stock para el semestre Z3.,false
38A,Z9,27,6,calculado_20_por_ciento,20,27,Inventario Medicamento,7,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
38A,Z3,86,18,calculado_20_por_ciento,20,86,Inventario Medicamento,7,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
3A,Z9,0,1,calculado_20_por_ciento,20,0,Inventario Medicamento,8,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
3A,Z3,21,5,calculado_20_por_ciento,20,21 tab,Inventario Medicamento,8,Cantidad numérica extraída de texto inequívoco. Existencia tomada definitivamente de Stock para el semestre Z3.,false
33A,Z9,103,21,calculado_20_por_ciento,20,103,Inventario Medicamento,9,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
33A,Z3,0,1,calculado_20_por_ciento,20,0,Inventario Medicamento,9,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
57A,Z9,10,2,calculado_20_por_ciento,20,10,Inventario Medicamento,10,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z9.,false
57A,Z3,0,1,calculado_20_por_ciento,20,0,Inventario Medicamento,10,Stock para el semestre confirmado; valor numérico usado directamente. Existencia tomada definitivamente de Stock para el semestre Z3.,false
