tipo_revision,hoja,fila,codigo_producto,producto,sede,campo,valor_original,valor_propuesto,motivo,accion_requerida
multiples_vencimientos,Inventario Medicamento,3,31A,ACERCA - 10 TABLETA,,fecha_vencimiento/lote,11/26 - 4/27,,Múltiples fechas sin distribución de cantidades.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,4,8A,ACETAMINOFEM GENFAR 500 MG - 100 TABLETA,,fecha_vencimiento/lote,46357,2026-12-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,5,22A,AERO OM VAINILLA 40MG - 1 COMPRIMIDO MASTICABLE,,fecha_vencimiento/lote,46692,2027-11-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,6,9A,ALFER ERI 0.5% 5ML SOLUCION OFTALMICA,,presentacion/unidad_dispensacion,ALFER ERI 0.5% 5ML SOLUCION OFTALMICA,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,7,38A,ASPIRINA FORTE 650MG - 1 TABLETA,,fecha_vencimiento/lote,46296,2026-10-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,8,3A,CARDIOASPIRINA 81MG,,presentacion/unidad_dispensacion,CARDIOASPIRINA 81MG,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,9,33A,CLORFENIRAMINA ECOMED 4MG - 10 TABLETA,,fecha_vencimiento/lote,46631,2027-09-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
unidad_dispensacion,Inventario Medicamento,12,47A,COMPLEJO B VIAL,,presentacion/unidad_dispensacion,COMPLEJO B VIAL,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,13,19A,DESKETOPROFENO 25 MG TABLETA,,fecha_vencimiento/lote,46844,2028-04-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
lote_sin_cantidad,Inventario Medicamento,15,59A,DESLORATADINA 5MG - 10 TABLETA,,fecha_vencimiento/lote,46692,2027-11-30,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
codigo_faltante,Inventario Medicamento,18,MED-AUTO-016,DICLOFENACO 75 MG/3 ML AMPOLLA,,codigo,,MED-AUTO-016,No existe código original.,Asignar el código institucional definitivo.
categoria_faltante,Inventario Medicamento,18,MED-AUTO-016,DICLOFENACO 75 MG/3 ML AMPOLLA,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
unidad_dispensacion,Inventario Medicamento,20,39A,DICLOLEV 75MG/3ML - 2 SOLUCION INYECTABLE IM (KIT),,presentacion/unidad_dispensacion,DICLOLEV 75MG/3ML - 2 SOLUCION INYECTABLE IM (KIT),unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
codigo_faltante,Inventario Medicamento,21,MED-AUTO-019,DIPIRONA 1G/2 ML AMPOLLA,,codigo,,MED-AUTO-019,No existe código original.,Asignar el código institucional definitivo.
categoria_faltante,Inventario Medicamento,21,MED-AUTO-019,DIPIRONA 1G/2 ML AMPOLLA,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
unidad_dispensacion,Inventario Medicamento,22,7A,DOLO KALORUB 180ML AERO,,presentacion/unidad_dispensacion,DOLO KALORUB 180ML AERO,unidad provisional,No se identificó presentación ni unidad de dispensación inequívoca.,Confirmar presentación y unidad usada durante la atención.
lote_sin_cantidad,Inventario Medicamento,23,21A,DOLONEUROBION - 1 TABLETA,,fecha_vencimiento/lote,46722,2027-12-31,Fecha sin cantidad de lote inequívoca por sede.,Confirmar cantidad y sede de cada lote.
vencido,Inventario Medicamento,24,36A,DORIVAL 200MG - 36 CAPSULAS GEL,,fecha_vencimiento/lote,46174,2026-06-30,Fecha histórica vencida sin cantidad distribuida por sede.,Confirmar cantidad y sede de cada lote.
codigo_faltante,Inventario Medicamento,25,MED-AUTO-023,ENALAPRIL 20 mg tableta,,codigo,,MED-AUTO-023,No existe código original.,Asignar el código institucional definitivo.
categoria_faltante,Inventario Medicamento,25,MED-AUTO-023,ENALAPRIL 20 mg tableta,,categoria,,medicamento,Categoría vacía; propuesta según hoja.,Confirmar categoría.
