codigo,nombre,categoria,presentacion,unidad_medida,es_consumible,contenido_por_presentacion,unidad_dispensacion,permite_registro_sin_descuento,criterio_clasificacion,descripcion_original,hoja_origen,fila_origen,requiere_revision
31A,ACERCA - 10 TABLETA,medicamento,tableta,tableta,true,10,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ACERCA - 10 TABLETA,Inventario Medicamento,3,false
8A,ACETAMINOFEM GENFAR 500 MG - 100 TABLETA,medicamento,tableta,tableta,true,100,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ACETAMINOFEM GENFAR 500 MG - 100 TABLETA,Inventario Medicamento,4,false
22A,AERO OM VAINILLA 40MG - 1 COMPRIMIDO MASTICABLE,medicamento,comprimido,comprimido,true,1,comprimido,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,AERO OM VAINILLA 40MG - 1 COMPRIMIDO MASTICABLE,Inventario Medicamento,5,false
9A,ALFER ERI 0.5% 5ML SOLUCION OFTALMICA,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ALFER ERI 0.5% 5ML SOLUCION OFTALMICA,Inventario Medicamento,6,true
38A,ASPIRINA FORTE 650MG - 1 TABLETA,medicamento,tableta,tableta,true,1,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,ASPIRINA FORTE 650MG - 1 TABLETA,Inventario Medicamento,7,false
3A,CARDIOASPIRINA 81MG,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CARDIOASPIRINA 81MG,Inventario Medicamento,8,true
33A,CLORFENIRAMINA ECOMED 4MG - 10 TABLETA,medicamento,tableta,tableta,true,10,tableta,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CLORFENIRAMINA ECOMED 4MG - 10 TABLETA,Inventario Medicamento,9,false
57A,CLORFENIRAMINA SELECT AMPOLLA,medicamento,ampolla,ampolla,true,1,ampolla,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,CLORFENIRAMINA SELECT AMPOLLA,Inventario Medicamento,10,false
12A,COFAL REGULAR 120G CREMA,medicamento,crema,crema,true,1,crema,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,COFAL REGULAR 120G CREMA,Inventario Medicamento,11,false
47A,COMPLEJO B VIAL,medicamento,,unidad,true,1,unidad,false,Consumible por defecto; el nombre no identifica un elemento reutilizable.,COMPLEJO B VIAL,Inventario Medicamento,12,true
